,Algarrobo,Cabildo,Calle Larga,Cartagena,Casablanca,Catemu,Concón,El Quisco,El Tabo,Hijuelas,Isla de Pascua,Juan Fernández,La Calera,La Cruz,La Ligua,Limache,Llay-Llay,Los Andes,Nogales,Olmué,Panquehue,Papudo,Petorca,Puchuncaví,Putaendo,Quillota,Quilpué,Quintero,Rinconada,San Antonio,San Esteban,San Felipe,Santa Maria,Santo Domingo,Valparaíso,Villa Alemana,Viña del Mar,Zapallar
2021-02-01,1,2,0,2,5,3,9,1,1,0,0,0,3,2,3,3,1,8,3,4,0,0,1,1,0,6,16,2,0,4,3,8,2,0,32,18,63,1
2021-02-02,0,0,0,1,0,2,0,1,2,0,0,0,1,3,0,3,2,0,3,0,1,0,0,2,0,7,0,2,0,15,0,1,1,0,11,0,24,0
2021-02-03,1,1,1,1,2,0,3,0,1,0,0,0,1,1,3,2,0,2,0,3,0,2,0,1,2,5,6,4,0,2,0,4,0,0,37,9,28,0
2021-02-04,1,0,0,6,6,0,2,3,2,3,0,0,2,3,8,4,0,7,4,1,1,0,4,0,0,13,15,2,0,18,0,9,4,1,42,22,51,0
2021-02-05,5,0,1,4,2,1,5,6,1,0,0,0,7,4,8,3,0,14,1,0,0,0,0,2,1,6,8,4,3,12,4,6,1,0,51,13,44,2
2021-02-06,0,2,2,1,6,1,3,0,3,0,0,0,5,1,2,3,0,10,5,1,4,0,0,1,0,7,44,1,1,12,1,6,1,1,35,10,40,0
2021-02-07,1,0,5,5,4,4,1,3,5,1,0,0,2,0,4,8,0,6,0,0,1,1,1,5,0,9,11,2,1,2,2,4,1,0,43,15,42,2
2021-02-08,7,1,0,5,7,1,4,3,1,0,0,0,9,2,2,1,0,7,6,2,1,0,0,1,0,5,3,0,1,20,1,9,0,0,29,21,49,0
2021-02-09,3,0,1,4,3,3,3,0,3,3,0,0,3,1,5,1,2,10,1,2,0,0,0,0,1,6,6,2,1,7,0,6,1,0,28,3,18,0
2021-02-10,2,0,0,0,2,1,4,3,2,0,0,0,3,0,1,2,0,7,4,1,2,1,0,2,0,5,7,1,3,23,0,3,0,0,28,11,36,0
2021-02-11,5,5,0,10,5,2,5,9,3,0,0,0,5,1,10,4,0,14,2,1,3,1,0,1,0,4,22,7,1,8,2,8,2,2,48,7,39,1
2021-02-12,8,1,0,4,1,6,6,2,4,2,0,0,5,4,2,9,1,8,2,1,0,1,0,1,0,6,18,0,0,24,8,2,4,0,27,12,42,0
2021-02-13,1,1,0,3,2,4,2,2,5,1,2,0,8,1,4,2,2,6,5,1,0,0,0,3,0,4,17,5,3,3,2,1,2,2,29,13,53,1
2021-02-14,4,3,4,4,0,0,11,3,7,0,0,0,6,4,7,7,1,9,1,6,0,1,2,1,2,9,11,10,1,24,3,6,2,0,37,21,43,0
2021-02-15,0,0,0,0,2,0,6,0,4,4,0,0,2,1,3,1,3,7,1,1,0,1,0,0,0,9,5,2,1,22,0,3,5,2,16,6,46,0
2021-02-16,1,2,1,1,1,4,0,1,4,0,0,0,6,0,2,2,2,6,3,2,0,1,1,2,0,5,10,10,0,26,2,1,1,6,23,5,14,1
2021-02-17,3,0,0,2,0,6,4,0,1,2,0,0,3,1,2,6,3,2,0,4,0,3,1,1,1,7,8,4,0,9,0,4,0,1,40,9,40,0
2021-02-18,5,2,1,5,2,3,4,1,7,2,0,0,3,1,7,1,1,9,7,0,0,4,0,4,2,10,21,8,1,10,3,4,3,2,45,7,46,6
2021-02-19,3,3,2,5,1,1,4,1,2,0,0,0,2,1,13,5,1,18,2,4,0,0,6,2,1,7,16,13,0,14,0,6,4,2,50,22,63,1
2021-02-20,2,4,2,4,4,7,2,1,8,1,0,0,5,2,14,0,3,18,0,3,0,0,1,6,1,7,25,2,0,67,5,8,0,3,49,7,51,0
2021-02-21,3,2,0,1,3,1,6,0,0,1,0,0,5,6,5,7,0,8,4,3,1,1,1,2,1,5,15,8,2,16,3,11,1,0,46,7,41,2
2021-02-22,5,2,1,0,0,1,4,3,0,0,0,0,10,0,5,1,4,8,1,0,2,0,0,0,0,7,10,1,0,49,1,10,0,2,21,3,52,3
2021-02-23,2,0,0,0,0,0,2,5,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0,0,0,6,21,2,1,35,0,0,1,1,27,9,14,0
2021-02-24,0,0,0,0,2,0,2,3,1,2,0,0,0,0,0,4,1,2,0,3,0,0,0,1,2,2,8,0,3,38,2,8,2,2,44,20,32,0
2021-02-25,4,3,2,12,2,0,2,0,11,2,0,0,6,1,23,1,1,11,6,1,0,3,5,0,2,17,38,11,3,28,0,15,4,5,69,24,59,2
2021-02-26,4,4,3,4,3,1,4,7,2,4,0,0,5,0,4,5,3,9,3,4,0,0,9,0,1,25,13,8,1,29,1,16,2,2,75,22,44,1
2021-02-27,2,3,2,1,4,6,2,5,1,3,0,0,6,1,5,5,4,70,1,3,3,0,1,0,1,16,40,6,1,18,2,9,0,0,55,19,61,0
2021-02-28,3,0,1,11,5,4,8,4,4,4,0,0,3,5,5,6,0,13,3,0,1,0,4,0,0,20,26,4,1,41,3,23,0,3,44,23,51,1
2021-03-01,4,0,1,6,3,5,2,1,3,0,0,0,0,1,6,1,5,7,5,2,0,4,2,1,1,8,22,6,2,28,1,9,2,4,52,17,58,1
2021-03-02,1,3,1,9,1,4,4,3,9,4,0,0,9,1,3,1,1,4,1,0,0,0,1,4,1,8,10,3,0,7,1,6,0,3,43,18,36,0
2021-03-03,1,5,0,2,2,2,4,2,3,2,0,0,0,2,0,4,2,5,1,0,0,1,1,0,0,11,19,3,3,53,0,6,1,7,32,13,33,1
2021-03-04,6,4,4,5,7,0,2,5,1,2,0,0,6,2,7,1,2,16,7,2,1,0,0,3,3,29,35,7,0,15,5,5,0,0,76,19,45,1
2021-03-05,11,4,3,5,2,5,7,3,3,3,0,0,9,8,5,8,8,13,5,4,0,0,0,0,2,16,23,4,2,46,3,12,0,4,61,25,60,0
2021-03-06,0,8,3,6,5,5,7,2,4,5,0,0,3,1,5,11,4,12,2,2,1,0,5,2,0,28,25,9,0,6,5,19,1,3,89,21,76,0
2021-03-07,2,4,8,7,3,1,16,8,4,1,0,0,5,0,2,7,4,19,5,3,0,0,2,2,1,21,14,5,1,63,1,17,1,5,74,18,63,0
2021-03-08,4,5,3,5,2,11,8,7,1,1,0,0,11,0,2,2,6,13,2,0,1,0,6,1,2,28,13,0,1,10,1,15,1,2,63,11,81,0
2021-03-09,0,3,0,5,3,5,8,1,2,2,0,0,5,4,0,4,5,4,8,5,2,0,0,1,2,12,25,4,0,55,1,13,0,4,42,9,28,0
2021-03-10,3,2,0,1,2,1,9,7,5,0,0,0,1,0,2,11,5,4,0,0,0,1,2,5,1,21,11,8,0,9,0,3,0,1,78,22,47,0
2021-03-11,3,0,4,8,1,1,15,5,2,4,0,0,20,1,8,1,8,9,3,1,1,0,0,10,5,35,45,4,2,13,5,8,1,2,101,39,67,3
2021-03-12,2,7,0,4,7,0,6,2,1,3,0,0,6,5,8,19,4,18,7,4,0,0,4,3,0,23,30,13,0,45,1,1,1,4,110,34,76,1
2021-03-13,7,1,1,4,0,2,13,1,1,1,2,0,14,6,7,20,3,11,8,1,1,0,2,7,3,33,24,10,0,45,2,13,1,2,121,25,76,2
2021-03-14,3,10,11,2,0,1,0,1,2,2,0,0,0,7,0,11,0,6,2,6,2,0,3,2,2,22,47,5,2,9,2,10,1,0,87,34,72,2
2021-03-15,2,5,4,3,4,0,9,5,3,5,0,0,2,6,5,2,0,8,4,3,0,0,1,3,2,31,26,4,2,40,2,6,1,4,94,25,95,0
2021-03-16,5,3,0,4,1,0,7,0,2,1,0,0,6,2,2,3,4,5,6,2,0,1,0,11,4,25,10,2,1,6,0,10,1,2,48,11,31,0
2021-03-17,3,4,1,0,1,1,8,1,1,3,0,0,4,4,6,17,6,5,3,0,0,0,0,12,2,28,38,15,2,49,0,6,1,3,117,25,100,1
2021-03-18,1,8,3,12,12,2,15,4,3,0,0,0,9,5,5,1,4,7,15,9,2,0,4,4,6,47,45,9,0,15,7,12,3,5,151,43,97,4
2021-03-19,3,9,7,14,2,2,18,1,3,3,0,0,8,6,5,12,11,18,2,2,0,0,2,7,4,38,26,7,2,27,2,15,1,3,114,34,84,3
2021-03-20,2,4,3,5,3,6,17,5,6,0,0,0,20,3,5,18,3,19,18,3,1,1,2,9,5,30,45,5,0,21,0,14,4,3,154,27,107,0
2021-03-21,1,3,5,11,7,0,11,0,2,3,0,0,22,10,1,26,13,13,7,12,0,3,3,6,1,30,54,3,0,23,0,6,3,2,138,40,117,0
2021-03-22,0,6,3,5,8,7,2,5,4,1,0,0,14,2,13,8,9,7,10,1,0,3,4,4,0,33,33,8,3,15,2,11,7,1,115,44,80,1
2021-03-23,2,0,0,1,10,5,7,0,2,4,0,0,10,1,1,13,6,10,2,7,3,0,0,1,5,12,11,6,1,15,2,6,2,0,58,12,84,0
2021-03-24,0,0,2,1,7,2,15,5,1,1,0,0,5,6,5,11,2,11,4,1,0,1,0,5,1,25,38,7,1,10,2,7,0,1,150,29,107,0
2021-03-25,5,0,5,11,14,4,23,3,4,9,0,0,18,7,11,17,6,19,5,11,1,1,1,6,4,30,62,6,1,21,6,8,6,4,200,28,135,4
2021-03-26,1,3,1,1,7,4,16,2,6,3,0,0,20,7,9,16,8,17,4,7,2,2,0,23,3,44,29,6,1,17,5,15,0,0,172,47,116,1
2021-03-27,1,1,1,9,5,5,12,0,4,3,0,0,21,4,13,18,2,10,16,12,0,2,3,7,6,31,66,7,0,35,7,22,1,7,179,37,88,3
2021-03-28,8,1,1,6,3,9,12,3,9,5,0,0,14,16,9,12,8,21,5,12,2,1,0,11,4,35,60,9,0,18,10,18,6,2,155,31,139,3
2021-03-29,3,5,16,4,18,6,3,3,12,5,0,0,22,4,8,9,8,20,11,4,2,3,1,4,9,23,37,11,0,20,7,26,4,8,115,6,119,1
2021-03-30,1,0,1,1,3,2,16,0,2,0,0,0,19,7,1,2,1,11,4,3,0,2,0,4,4,22,21,6,3,34,1,9,5,3,73,16,77,0
2021-03-31,4,2,0,2,0,1,11,4,2,0,0,0,20,8,7,5,3,8,3,1,2,8,1,9,1,26,45,14,0,24,0,2,2,2,108,64,89,0
2021-04-01,2,2,2,12,21,2,18,3,5,5,0,0,35,8,10,20,12,36,11,1,5,0,2,8,2,60,77,12,0,9,8,20,9,2,166,62,144,0
2021-04-02,8,0,5,5,3,7,12,1,2,3,0,0,17,10,6,23,7,39,12,9,3,7,0,5,3,43,74,7,0,28,2,29,4,2,138,69,132,10
2021-04-03,7,6,2,8,5,6,11,4,8,8,0,0,20,8,10,11,7,27,5,9,8,3,2,9,8,41,28,16,1,16,6,31,3,0,144,39,113,5
2021-04-04,7,5,7,12,4,9,16,2,2,13,0,0,15,3,4,14,10,31,6,9,4,8,2,13,2,38,54,25,2,33,4,23,8,3,80,25,104,5
2021-04-05,5,3,2,2,6,21,5,4,6,14,0,0,21,5,1,9,29,14,12,2,2,1,0,3,13,16,17,7,2,11,3,30,0,1,90,11,113,0
2021-04-06,3,1,3,5,5,5,1,1,2,0,0,0,26,12,6,4,5,13,0,0,1,1,1,2,4,19,26,9,3,28,6,7,2,4,101,12,63,0
2021-04-07,0,3,0,4,6,6,13,6,6,4,0,0,1,1,4,6,1,16,0,6,0,1,0,3,1,29,23,9,1,16,4,14,3,4,113,47,59,1
2021-04-08,1,6,1,15,8,8,20,1,5,2,0,0,11,4,6,6,4,21,8,5,4,6,1,6,6,49,64,14,1,28,5,34,7,2,161,69,150,4
2021-04-09,6,0,5,9,5,3,15,2,6,15,0,0,30,4,8,12,10,41,16,4,5,8,4,15,10,57,62,26,1,36,10,41,6,7,94,55,162,2
2021-04-10,4,3,2,10,11,18,7,6,4,11,0,0,14,6,9,18,11,20,15,3,1,2,3,9,1,42,52,10,1,34,12,28,4,1,126,42,120,1
2021-04-11,2,3,5,6,6,8,18,1,3,3,0,0,33,6,9,10,9,24,5,17,6,4,3,11,4,48,26,9,3,35,4,34,4,3,163,37,138,3
2021-04-12,0,3,3,7,4,8,2,2,1,8,0,0,11,2,11,14,19,25,9,0,3,3,2,7,7,21,47,13,1,29,2,27,7,8,82,17,103,3
2021-04-13,2,2,3,9,1,7,14,3,2,7,0,0,11,3,3,7,5,15,11,0,3,7,2,4,1,18,12,18,0,10,2,19,1,4,98,12,119,1
2021-04-14,0,5,1,2,5,0,12,4,0,1,0,0,22,7,3,8,2,12,6,2,0,0,0,9,2,32,31,6,1,16,2,17,7,3,121,70,63,0
2021-04-15,6,1,1,10,4,5,10,13,3,0,0,0,11,2,6,10,5,24,1,4,2,4,4,1,9,36,59,10,3,21,6,25,2,4,137,34,105,1
2021-04-16,7,2,11,6,9,0,15,6,3,11,0,0,25,7,11,5,11,31,10,10,2,3,5,1,2,24,44,4,0,7,4,28,7,5,119,33,124,5
2021-04-17,5,0,5,13,9,9,6,4,11,0,0,0,13,8,4,12,4,21,12,6,7,3,1,3,10,27,56,20,10,37,7,23,1,5,122,27,135,2
2021-04-18,5,1,3,17,6,1,12,5,1,7,0,0,11,11,9,14,11,24,5,7,1,1,1,16,3,28,40,11,1,19,1,17,2,2,126,40,94,0
2021-04-19,10,3,5,12,0,1,9,4,1,14,0,0,10,5,10,10,7,31,5,2,2,3,3,6,1,34,31,16,4,9,0,24,7,2,88,9,91,4
2021-04-20,4,0,1,10,9,1,2,2,1,2,0,0,9,3,5,5,4,12,7,0,2,4,1,2,11,19,15,11,1,9,8,21,1,0,77,9,67,0
2021-04-21,7,2,2,2,2,2,6,0,3,4,0,0,14,5,5,4,0,12,4,3,0,2,0,1,5,52,19,9,1,1,1,5,6,1,93,50,62,1
2021-04-22,7,2,2,9,9,3,7,2,3,8,0,0,17,6,6,12,4,28,11,2,0,1,4,6,7,52,57,13,2,22,3,12,3,1,107,52,77,1
2021-04-23,6,1,6,4,1,2,10,1,1,5,0,0,5,5,5,7,7,34,4,5,1,1,0,6,7,39,25,12,1,23,2,36,0,0,106,37,117,4
2021-04-24,9,3,2,11,1,6,20,3,6,8,0,0,24,3,3,18,6,20,7,11,6,1,0,5,1,19,42,19,2,25,3,37,5,2,73,45,141,0
2021-04-25,7,1,6,9,2,5,7,5,9,0,0,0,15,9,4,8,10,20,2,2,1,3,0,1,0,32,37,12,4,19,1,39,2,2,106,39,113,0
2021-04-26,3,2,2,7,5,0,15,4,5,15,0,0,14,3,3,12,7,29,1,5,0,0,0,9,5,30,33,4,4,13,1,11,2,0,67,32,117,0
2021-04-27,7,5,3,3,4,9,2,3,4,9,0,0,6,0,1,6,2,10,1,1,2,1,0,2,4,6,15,13,1,19,1,8,3,3,61,11,61,0
2021-04-28,9,1,5,4,2,1,12,6,1,18,0,0,6,3,0,6,1,6,4,11,0,0,0,0,9,13,23,8,0,16,1,13,2,2,92,28,85,0
2021-04-29,2,2,4,8,3,3,14,11,2,6,0,0,20,1,3,4,7,29,6,4,0,1,0,7,6,18,45,13,6,13,2,31,6,0,98,27,102,1
2021-04-30,4,1,7,4,1,5,3,2,3,8,0,0,10,4,2,9,6,18,5,0,0,0,0,3,3,19,35,18,2,19,6,19,8,5,73,24,105,2
2021-05-01,0,5,0,8,2,3,9,5,3,7,0,0,11,5,2,6,5,18,7,4,0,0,1,2,4,20,21,16,7,19,3,15,3,2,82,32,88,0
2021-05-02,1,6,3,1,3,4,9,5,5,11,0,0,7,1,3,9,5,30,4,4,2,1,0,3,6,18,20,10,0,27,6,17,0,0,82,18,85,0
2021-05-03,3,4,5,3,1,2,5,8,2,1,0,0,18,0,5,8,3,14,2,6,0,0,0,3,0,27,28,12,1,22,3,15,2,1,31,14,88,1
2021-05-04,0,0,0,2,1,0,2,3,3,12,0,0,12,2,0,4,0,8,5,3,0,1,0,0,5,10,18,5,4,11,0,4,3,0,41,12,8,0
2021-05-05,5,1,3,2,0,1,2,0,0,3,0,0,9,4,1,6,3,10,0,13,0,0,1,2,3,11,22,3,0,30,1,9,5,0,43,18,79,2
2021-05-06,3,2,2,15,7,2,20,10,4,10,0,0,9,3,5,9,2,48,6,5,3,1,0,4,1,28,34,10,0,22,1,15,6,1,87,33,97,0
2021-05-07,4,7,12,15,2,0,4,8,5,4,0,0,0,6,4,9,10,23,2,5,0,1,4,4,6,20,23,18,2,35,3,15,6,1,60,21,81,0
2021-05-08,6,0,1,6,3,2,3,6,1,6,0,0,14,4,4,32,8,16,10,14,4,0,0,1,1,28,22,10,0,24,2,24,7,1,94,21,77,0
2021-05-09,1,4,6,7,1,1,15,8,2,5,0,0,5,3,3,10,7,18,3,9,2,0,3,10,2,16,17,5,1,26,3,38,9,0,76,15,99,0
2021-05-10,0,0,1,18,8,2,5,3,3,5,0,0,9,5,5,4,3,13,9,4,1,0,0,1,2,19,20,4,0,9,1,10,4,0,45,16,55,0
2021-05-11,0,0,2,6,1,0,1,3,4,1,0,0,10,3,4,2,6,9,4,0,1,1,0,6,3,7,18,6,1,21,1,7,2,2,41,6,48,0
2021-05-12,4,1,0,5,6,0,2,1,2,6,0,0,8,3,4,4,2,5,1,3,2,0,2,0,0,14,13,4,0,29,0,7,4,0,59,16,45,0
2021-05-13,5,0,3,13,4,1,8,2,8,9,0,0,6,5,0,13,6,28,4,0,2,0,0,10,1,34,19,8,2,24,0,36,12,5,62,19,81,0
2021-05-14,2,1,4,4,2,2,4,3,5,7,0,0,6,2,10,12,8,15,2,9,1,0,1,2,2,25,22,10,3,14,10,30,9,1,68,31,81,0
2021-05-15,0,8,0,10,6,3,6,10,8,2,0,0,0,3,14,15,3,23,3,4,3,0,1,0,3,22,22,10,1,41,5,29,8,2,70,23,58,1
2021-05-16,4,5,4,14,10,0,9,4,1,9,0,0,7,8,9,10,5,26,2,5,3,1,6,11,1,23,23,18,5,19,2,12,12,0,66,37,53,1
2021-05-17,9,5,0,10,6,4,7,4,3,1,0,0,0,5,1,6,5,16,0,1,1,0,0,11,0,12,14,11,10,19,3,17,2,3,32,7,68,2
2021-05-18,2,4,1,2,1,4,1,0,1,7,0,0,1,2,6,4,1,8,5,10,2,0,0,5,4,7,11,7,0,16,0,16,4,2,36,6,13,0
2021-05-19,1,1,7,4,4,4,6,4,4,3,0,0,9,5,2,3,1,9,1,1,4,0,1,2,3,8,16,11,1,15,7,25,4,2,68,17,38,0
2021-05-20,10,2,6,22,8,2,17,7,3,7,0,0,12,5,5,7,0,23,10,3,5,0,0,3,3,36,26,15,3,44,6,24,7,4,65,24,93,4
2021-05-21,1,5,5,21,12,5,7,2,2,6,0,0,8,0,21,10,3,28,2,2,3,0,7,4,0,16,24,10,2,31,14,33,11,2,60,30,78,1
2021-05-22,3,3,2,19,7,3,12,7,8,5,0,0,4,10,9,17,4,25,0,25,2,2,4,8,1,28,21,9,8,33,4,17,6,0,66,16,67,4
2021-05-23,2,3,5,11,7,0,0,8,3,0,0,0,16,8,9,5,6,20,3,2,0,0,4,4,5,22,18,16,2,56,7,22,2,2,44,8,61,0
2021-05-24,1,4,4,4,6,6,0,5,4,1,0,0,8,0,2,7,2,14,5,10,4,5,1,4,4,10,33,5,7,30,2,24,3,0,47,22,28,1
2021-05-25,1,4,0,6,3,0,3,8,1,1,0,0,1,1,5,5,5,20,1,4,2,0,1,10,3,12,12,8,1,22,1,20,1,6,40,9,35,0
2021-05-26,0,8,5,6,7,1,5,0,6,3,0,0,15,4,7,10,5,25,3,5,1,1,0,1,4,13,17,6,0,30,11,22,14,1,59,23,32,2
2021-05-27,4,1,15,9,13,1,11,9,6,5,0,0,4,10,8,10,3,48,8,2,4,0,4,9,3,36,37,15,1,45,9,47,7,3,63,34,56,0
2021-05-28,1,4,5,13,8,0,12,15,5,1,0,0,15,8,30,15,6,47,4,2,2,0,3,12,3,25,42,13,2,42,8,33,6,5,87,34,57,11
2021-05-29,5,6,7,8,10,2,7,7,4,3,0,0,0,7,3,13,14,41,8,2,4,0,3,7,11,19,20,10,4,61,9,25,9,7,63,24,82,1
2021-05-30,7,2,8,9,5,1,4,8,1,1,0,0,2,8,14,15,17,50,5,20,3,0,2,10,3,29,38,7,5,27,11,27,9,1,74,20,73,2
2021-05-31,7,6,3,7,2,5,4,9,6,2,0,0,8,5,14,9,6,50,7,1,4,3,1,13,4,15,17,12,4,40,6,24,5,2,40,24,53,3
2021-06-01,3,3,2,10,5,2,8,5,2,3,0,0,7,1,6,8,9,7,2,5,1,0,3,2,9,12,8,5,6,18,5,34,3,0,34,4,37,4
2021-06-02,0,1,3,9,7,1,6,4,4,3,0,0,0,0,4,8,3,20,7,5,2,1,2,8,2,21,24,8,2,60,3,22,6,2,58,33,57,3
